,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,datePriceChanged,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,priceReduction,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,priceChange,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,videoCount,unit,newConstructionType,providerListingID,openHouse,open_house_info
0,1990362,7438 Upton Ave S,55423,Richfield,MN,44.867706,-93.31537,439000,1665990000000.0,2.0,4.0,1932.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,479700.0,2498.0,{'is_FSBA': True},"$11,000 (Oct 17)",False,False,FOR_SALE,439000,-11000.0,True,False,False,USD,USA,339000.0,10018.8,sqft,,,,,,
1,1941192,212 66th St E,55423,Richfield,MN,44.883778,-93.27366,275000,,2.0,3.0,1675.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,303000.0,2094.0,{'is_bankOwned': True},,False,False,FOR_SALE,275000,,True,False,False,USD,USA,224000.0,0.26,acres,,,,,,
2,1959164,6844 Upton Ave S,55423,Richfield,MN,44.8783,-93.31533,229900,1667810000000.0,2.0,3.0,1591.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,252900.0,2100.0,{'is_FSBA': True},"$20,100 (Nov 7)",False,False,FOR_SALE,229900,-20100.0,True,False,False,USD,USA,262000.0,5662.8,sqft,,,,,,
3,1987220,2509 70th St W,55423,Richfield,MN,44.876087,-93.31165,300000,1666250000000.0,1.0,3.0,1178.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,300000.0,1981.0,{'is_FSBA': True},"$15,000 (Oct 20)",False,False,FOR_SALE,300000,-15000.0,True,False,False,USD,USA,267000.0,7840.8,sqft,,,,,,
4,1934307,6311 15th Ave S,55423,Richfield,MN,44.888435,-93.253815,299900,1666250000000.0,2.0,3.0,1177.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,299600.0,1998.0,{'is_FSBA': True},"$20,000 (Oct 20)",False,False,FOR_SALE,299900,-20000.0,True,False,False,USD,USA,212000.0,8276.4,sqft,1.0,,,,,
5,1941734,6801 Pleasant Ave S,55423,Richfield,MN,44.879677,-93.28276,400000,1666340000000.0,2.0,3.0,2057.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,399190.0,1997.0,{'is_FSBA': True},"$30,000 (Oct 21)",False,False,FOR_SALE,400000,-30000.0,True,False,False,USD,USA,325000.0,9147.6,sqft,,,,,,
6,1950100,6615 Lake Shore Dr S APT 917,55423,Richfield,MN,44.88267,-93.28936,165000,,2.0,2.0,1190.0,CONDO,FOR_SALE,-1,False,False,163300.0,1625.0,{'is_FSBA': True},,False,False,FOR_SALE,165000,,True,False,False,USD,USA,132000.0,3.78,acres,,Apt 917,,,,
7,2009087,7526 Portland Ave S,55423,Richfield,MN,44.86626,-93.26851,389900,,2.0,3.0,2414.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,387600.0,2699.0,{'is_FSBA': True},,False,False,FOR_SALE,389900,,True,False,False,USD,USA,304000.0,10454.4,sqft,,,,,,
8,71815377,7600 Lyndale Ave S APT 310,55423,Richfield,MN,44.865093,-93.28874,159900,1668500000000.0,1.0,1.0,767.0,CONDO,FOR_SALE,-1,False,False,157300.0,1362.0,{'is_FSBA': True},"$7,000 (Nov 15)",False,False,FOR_SALE,159900,-7000.0,True,False,False,USD,USA,139000.0,,,,Apt 310,,,,
9,1935009,6808 Chicago Ave S,55423,Richfield,MN,44.87955,-93.26332,359500,1661580000000.0,2.0,4.0,2197.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,356900.0,2094.0,{'is_FSBA': True},,False,False,FOR_SALE,359500,-20400.0,True,False,False,USD,USA,267000.0,8712.0,sqft,,,,,,
10,61626451,7601 Garfield Ave S UNIT 108,55423,Richfield,MN,44.865204,-93.28676,257500,1666080000000.0,2.0,2.0,1320.0,TOWNHOUSE,FOR_SALE,-1,False,False,253800.0,1734.0,{'is_FSBA': True},"$7,500 (Oct 18)",False,False,FOR_SALE,257500,-7500.0,True,False,False,USD,USA,249000.0,0.49,acres,,Unit 108,,,,
11,71815349,7600 Lyndale Ave S APT 200,55423,Richfield,MN,44.865093,-93.28874,164900,1669020000000.0,1.0,1.0,758.0,CONDO,FOR_SALE,-1,False,False,161119.0,1361.0,{'is_FSBA': True},"$5,000 (Nov 21)",False,False,FOR_SALE,164900,-5000.0,True,False,False,USD,USA,157000.0,2.13,acres,,Apt 200,,,,
12,1948456,6227 Girard Ave S,55423,Richfield,MN,44.889637,-93.29686,319900,,1.0,3.0,1222.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,315600.0,1998.0,{'is_FSBA': True},,False,False,FOR_SALE,319900,,True,False,False,USD,USA,240000.0,9583.2,sqft,,,,,,
13,1941781,6908 Nicollet Ave S,55423,Richfield,MN,44.87772,-93.278595,299000,,1.0,3.0,1388.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,294600.0,1997.0,{'is_FSBA': True},,False,False,FOR_SALE,299000,,True,False,False,USD,USA,248000.0,9583.2,sqft,,,,,,
14,1948733,6500 Woodlake Dr APT 508,55423,Richfield,MN,44.883705,-93.28896,120000,,1.0,1.0,610.0,CONDO,FOR_SALE,-1,False,False,115600.0,1099.0,{'is_FSBA': True},,False,False,FOR_SALE,120000,,True,False,False,USD,USA,85000.0,1.27,acres,,Apt 508,,,,
15,2014626,7001 Bloomington Ave S,55423,Richfield,MN,44.87614,-93.252556,289900,,2.0,3.0,1610.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,284900.0,2094.0,{'is_FSBA': True},,False,False,FOR_SALE,289900,,True,False,False,USD,USA,247000.0,7840.8,sqft,,,,,,
16,1935194,6727 16th Ave S,55423,Richfield,MN,44.880707,-93.251305,309900,1667810000000.0,2.0,5.0,1752.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,304900.0,2311.0,{'is_FSBA': True},"$5,000 (Nov 7)",False,False,FOR_SALE,309900,-5000.0,True,False,False,USD,USA,263000.0,10018.8,sqft,,,,,,
17,1941772,6845 Blaisdell Ave S,55423,Richfield,MN,44.87827,-93.279076,345000,,2.0,4.0,1464.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,338500.0,1794.0,{'is_FSBA': True},,False,False,FOR_SALE,345000,,True,False,False,USD,USA,240000.0,8712.0,sqft,,,,,,
18,2008267,7332 Portland Ave S,55423,Richfield,MN,44.86965,-93.26849,319900,1668410000000.0,2.0,4.0,1807.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,313000.0,2094.0,{'is_FSBA': True},"$10,000 (Nov 14)",False,False,FOR_SALE,319900,-10000.0,True,False,False,USD,USA,230000.0,5662.8,sqft,,,,,,
19,337492187,6369 16th Ave S,55423,Richfield,MN,44.887657,-93.25165,472400,,3.0,3.0,1640.0,TOWNHOUSE,FOR_SALE,-1,False,False,465148.0,2199.0,{'is_newHome': True},,False,False,FOR_SALE,472400,,True,False,False,USD,USA,25300.0,1306.8,sqft,,,NEW_CONSTRUCTION_TYPE_OTHER,,,
20,2000197,7632 Bryant Ave S,55423,Richfield,MN,44.86428,-93.291374,327500,1667550000000.0,1.0,3.0,2022.0,SINGLE_FAMILY,FOR_SALE,-1,False,False,320000.0,1995.0,{'is_FSBA': True},"$2,500 (Nov 4)",False,False,FOR_SALE,327500,-2500.0,True,False,False,USD,USA,310000.0,9583.2,sqft,,,,,,
21,337492186,6367 16th Ave S,55423,Richfield,MN,44.887688,-93.25165,469900,1662880000000.0,3.0,2.0,1640.0,TOWNHOUSE,FOR_SALE,-1,False,False,462100.0,2240.0,{'is_newHome': True},"$9,500 (Sep 11)",False,False,FOR_SALE,469900,-9500.0,True,False,False,USD,USA,25300.0,1306.8,sqft,,,NEW_CONSTRUCTION_TYPE_OTHER,,,
