zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info
1888325,9312 Nesbitt Rd,55437,Bloomington,MN,44.8344,-93.35949,289900,2,2,1972,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,317700,2199,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,289900,TRUE,FALSE,FALSE,USD,USA,245700,2016,sqft,,,,,,
1970373,9787 Cavell Cir,55438,Bloomington,MN,44.82566,-93.39435,259900,2,3,1404,MULTI_FAMILY,FOR_SALE,-1,FALSE,FALSE,282100,1900,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,259900,TRUE,FALSE,FALSE,USD,USA,231000,6534,sqft,1.66962E+12,"$10,000 (Nov 28)",-10000,,,
1858679,9550 Collegeview Rd APT 120,55437,Bloomington,MN,44.830578,-93.33759,207900,2,2,1334,CONDO,FOR_SALE,-1,FALSE,FALSE,229900,1749,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,207900,TRUE,FALSE,FALSE,USD,USA,189800,,,1.66513E+12,"$22,000 (Oct 7)",-22000,Apt 120,,
1979283,10541 Wyoming Ave S,55438,Bloomington,MN,44.81185,-93.388504,399000,2,3,3683,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,411200,2995,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399000,TRUE,FALSE,FALSE,USD,USA,302800,0.34,acres,,,,,,
1788946,8700 Elliot Ave S,55420,Bloomington,MN,44.845943,-93.26229,259000,1,3,1000,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,271200,1699,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,259000,TRUE,FALSE,FALSE,USD,USA,259100,0.45,acres,1.66954E+12,"$20,000 (Nov 27)",-20000,,,
1970691,7501 W 100th St,55438,Bloomington,MN,44.821915,-93.381615,399900,2,3,2054,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,406800,2100,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,399900,TRUE,FALSE,FALSE,USD,USA,317400,0.31,acres,,,,,,
1725553,8200 Vincent Ave S,55431,Bloomington,MN,44.855072,-93.31721,429999,3,4,2448,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,436800,2809,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,429999,TRUE,FALSE,FALSE,USD,USA,313400,0.27,acres,,,,,,
1969866,7662 S Bay Dr,55438,Bloomington,MN,44.828686,-93.38539,1375000,6,5,6696,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,1380500,6917,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,1375000,TRUE,FALSE,FALSE,USD,USA,860500,0.46,acres,,,,,,
1800406,9125 Meadowview Rd,55425,Bloomington,MN,44.83808,-93.244965,519900,3,4,3145,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,523700,3200,"{'is_openHouse': True, 'is_FSBA': True}",FALSE,FALSE,FOR_SALE,519900,TRUE,FALSE,FALSE,USD,USA,406700,0.86,acres,1.66625E+12,"$20,000 (Oct 20)",-20000,,Sat. 12-2pm,"{'open_house_showing': [{'open_house_start': 1670097600000, 'open_house_end': 1670104800000}]}"
1980231,7440 Landau Curv,55438,Bloomington,MN,44.80889,-93.38004,237900,2,2,1320,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,238100,1694,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,237900,TRUE,FALSE,FALSE,USD,USA,207800,0,sqft,1.66694E+12,"$2,000 (Oct 28)",-2000,,,
