zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,unit,openHouse,open_house_info,newConstructionType,videoCount
1761077,4529 Chowen Ave S,55410,Minneapolis,MN,44.920357,-93.32508,435000,1,1,632,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,1599900,8019,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,435000,TRUE,FALSE,FALSE,USD,USA,334000,7405.2,sqft,,,,,,,,
1839202,2325 James Ave N,55411,Minneapolis,MN,45.00291,-93.304085,50000,2,4,1550,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,183400,1999,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,50000,TRUE,FALSE,FALSE,USD,USA,92000,5662.8,sqft,,,,,,,,
1991133,3523 Cedar Lake Ave,55416,Minneapolis,MN,44.95317,-93.32407,995000,2,3,2921,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,1095000,5488,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,995000,TRUE,FALSE,FALSE,USD,USA,808000,0.15,sqft,1.66807E+12,"$100,000 (Nov 10)",-100000,,,,,
82640511,100 3rd Ave S UNIT 1704,55401,Minneapolis,MN,44.981926,-93.26265,449900,2,2,1202,CONDO,FOR_SALE,-1,FALSE,FALSE,542900,2333,{'is_bankOwned': True},FALSE,FALSE,FOR_SALE,449900,TRUE,FALSE,FALSE,USD,USA,599000,0.94,acres,,,,Unit 1704,,,,
2009543,2325 Pleasant Ave,55404,Minneapolis,MN,44.9593,-93.282555,699000,5,12,4824,MULTI_FAMILY,FOR_SALE,-1,FALSE,FALSE,785800,3940,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,699000,TRUE,FALSE,FALSE,USD,USA,842000,7840.8,sqft,1.66902E+12,"$96,000 (Nov 21)",-96000,,,,,
1976914,3613 26th St E,55406,Minneapolis,MN,44.955303,-93.21972,374900,2,4,1728,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,452600,2100,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,374900,TRUE,FALSE,FALSE,USD,USA,365000,4791.6,sqft,1.66859E+12,"$25,000 (Nov 16)",-25000,,,,,
1718892,4322 Girard Ave N,55412,Minneapolis,MN,45.034027,-93.296684,169900,2,4,1948,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,241200,2232,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,169900,TRUE,FALSE,FALSE,USD,USA,191000,0.12,sqft,1.66824E+12,"$20,000 (Nov 12)",-20000,,,,,
1821319,1414 4th St NE,55413,Minneapolis,MN,45.002506,-93.26201,169900,2,2,1709,MULTI_FAMILY,FOR_SALE,-1,FALSE,FALSE,229000,1800,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,169900,TRUE,FALSE,FALSE,USD,USA,239000,8276.4,sqft,1.66962E+12,"$30,000 (Nov 28)",-30000,,,,,
1782250,4203 Blaisdell Ave,55409,Minneapolis,MN,44.926605,-93.27886,374900,2,3,1806,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,431700,2100,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,374900,TRUE,FALSE,FALSE,USD,USA,347000,5227.2,sqft,1.66876E+12,"$18,000 (Nov 18)",-18000,,,,,
1848941,5045 Thomas Ave S,55410,Minneapolis,MN,44.91106,-93.31341,499900,2,4,1698,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,551000,2295,"{'is_openHouse': True, 'is_FSBA': True}",FALSE,FALSE,FOR_SALE,499900,TRUE,FALSE,FALSE,USD,USA,431000,5227.2,sqft,1.66954E+12,"$25,000 (Nov 27)",-25000,,Sat. 10:30am-12:30pm,"{'open_house_showing': [{'open_house_start': 1670092200000, 'open_house_end': 1670099400000}]}",,
2009545,2321 Pleasant Ave,55404,Minneapolis,MN,44.95944,-93.282555,599000,3,8,4264,MULTI_FAMILY,FOR_SALE,-1,FALSE,FALSE,650000,4500,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,599000,TRUE,FALSE,FALSE,USD,USA,567000,6969.6,sqft,1.66902E+12,"$51,000 (Nov 21)",-51000,,,,,
