zpid,streetAddress,zipcode,city,state,latitude,longitude,price,datePriceChanged,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,priceReduction,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,priceChange,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,videoCount,unit,newConstructionType
1990362,7438 Upton Ave S,55423,Richfield,MN,44.867706,-93.31537,439000,1.66599E+12,2,4,1932,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,479700,2498,{'is_FSBA': True},"$11,000 (Oct 17)",FALSE,FALSE,FOR_SALE,439000,-11000,TRUE,FALSE,FALSE,USD,USA,339000,10018.8,sqft,,,
1941192,212 66th St E,55423,Richfield,MN,44.883778,-93.27366,275000,,2,3,1675,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,303000,2094,{'is_bankOwned': True},,FALSE,FALSE,FOR_SALE,275000,,TRUE,FALSE,FALSE,USD,USA,224000,0.26,acres,,,
1959164,6844 Upton Ave S,55423,Richfield,MN,44.8783,-93.31533,229900,1.66781E+12,2,3,1591,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,252900,2100,{'is_FSBA': True},"$20,100 (Nov 7)",FALSE,FALSE,FOR_SALE,229900,-20100,TRUE,FALSE,FALSE,USD,USA,262000,5662.8,sqft,,,
1987220,2509 70th St W,55423,Richfield,MN,44.876087,-93.31165,300000,1.66625E+12,1,3,1178,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,300000,1981,{'is_FSBA': True},"$15,000 (Oct 20)",FALSE,FALSE,FOR_SALE,300000,-15000,TRUE,FALSE,FALSE,USD,USA,267000,7840.8,sqft,,,
1934307,6311 15th Ave S,55423,Richfield,MN,44.888435,-93.253815,299900,1.66625E+12,2,3,1177,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,299600,1998,{'is_FSBA': True},"$20,000 (Oct 20)",FALSE,FALSE,FOR_SALE,299900,-20000,TRUE,FALSE,FALSE,USD,USA,212000,8276.4,sqft,1,,
1941734,6801 Pleasant Ave S,55423,Richfield,MN,44.879677,-93.28276,400000,1.66634E+12,2,3,2057,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,399190,1997,{'is_FSBA': True},"$30,000 (Oct 21)",FALSE,FALSE,FOR_SALE,400000,-30000,TRUE,FALSE,FALSE,USD,USA,325000,9147.6,sqft,,,
1950100,6615 Lake Shore Dr S APT 917,55423,Richfield,MN,44.88267,-93.28936,165000,,2,2,1190,CONDO,FOR_SALE,-1,FALSE,FALSE,163300,1625,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,165000,,TRUE,FALSE,FALSE,USD,USA,132000,3.78,acres,,Apt 917,
2009087,7526 Portland Ave S,55423,Richfield,MN,44.86626,-93.26851,389900,,2,3,2414,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,387600,2699,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,389900,,TRUE,FALSE,FALSE,USD,USA,304000,10454.4,sqft,,,
71815377,7600 Lyndale Ave S APT 310,55423,Richfield,MN,44.865093,-93.28874,159900,1.6685E+12,1,1,767,CONDO,FOR_SALE,-1,FALSE,FALSE,157300,1362,{'is_FSBA': True},"$7,000 (Nov 15)",FALSE,FALSE,FOR_SALE,159900,-7000,TRUE,FALSE,FALSE,USD,USA,139000,,,,Apt 310,
1935009,6808 Chicago Ave S,55423,Richfield,MN,44.87955,-93.26332,359500,1.66158E+12,2,4,2197,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,356900,2094,{'is_FSBA': True},,FALSE,FALSE,FOR_SALE,359500,-20400,TRUE,FALSE,FALSE,USD,USA,267000,8712,sqft,,,
61626451,7601 Garfield Ave S UNIT 108,55423,Richfield,MN,44.865204,-93.28676,257500,1.66608E+12,2,2,1320,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,253800,1734,{'is_FSBA': True},"$7,500 (Oct 18)",FALSE,FALSE,FOR_SALE,257500,-7500,TRUE,FALSE,FALSE,USD,USA,249000,0.49,acres,,Unit 108,
71815349,7600 Lyndale Ave S APT 200,55423,Richfield,MN,44.865093,-93.28874,164900,1.66902E+12,1,1,758,CONDO,FOR_SALE,-1,FALSE,FALSE,161119,1361,{'is_FSBA': True},"$5,000 (Nov 21)",FALSE,FALSE,FOR_SALE,164900,-5000,TRUE,FALSE,FALSE,USD,USA,157000,2.13,acres,,Apt 200,
