zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,listing_sub_type,isUnmappable,isPreforeclosureAuction,homeStatusForHDP,priceForHDP,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,datePriceChanged,priceReduction,priceChange,providerListingID,newConstructionType,unit,videoCount,openHouse,open_house_info
2256375,8893 Springwood Dr,55125,Woodbury,MN,44.898663,-92.924385,849000,4,5,4605,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,963800,5250,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,849000,TRUE,FALSE,FALSE,USD,USA,630800,0.44,acres,,,,,,,,,
2065676051,11277 Crestbury Dr,55129,Saint Paul,MN,44.931637,-92.87718,379990,3,3,1883,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,395600,2462,{'is_newHome': True},FALSE,FALSE,FOR_SALE,379990,TRUE,TRUE,FALSE,USD,USA,,0.06,sqft,1.67E+12,"$5,000 (Nov 7)",-5000,28977951,BUILDER_SPEC,,,,
240363293,4991 Sunflower Pl,55129,Woodbury,MN,44.87675,-92.91785,985000,3,3,2912,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,999600,5489,{'is_newHome': True},FALSE,FALSE,FOR_SALE,985000,TRUE,FALSE,FALSE,USD,USA,180000,0.3,acres,1.67E+12,"$10,000 (Nov 17)",-10000,,BUILDER_SPEC,,,,
88931757,2428 Cochrane Cir,55125,Woodbury,MN,44.914165,-92.9667,186000,1,2,1009,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,200000,1494,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,186000,TRUE,FALSE,FALSE,USD,USA,145500,5662.8,sqft,1.67E+12,"$14,000 (Nov 24)",-14000,,,,,,
2229088,1863 Orchard Dr,55125,Woodbury,MN,44.921795,-92.91456,509000,4,5,2968,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,517502,2579,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,509000,TRUE,FALSE,FALSE,USD,USA,402600,10018.8,sqft,1.67E+12,"$8,500 (Nov 28)",-8500,,,,,,
299623491,9631 Westwind Cir,55129,Woodbury,MN,44.86792,-92.90926,653000,4,5,2975,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,658700,3638,{'is_newHome': True},FALSE,FALSE,FOR_SALE,653000,TRUE,FALSE,FALSE,USD,USA,135000,8276.4,sqft,,,,,BUILDER_SPEC,,,,
299623658,9627 Westwind Cir,55129,Woodbury,MN,44.867916,-92.90976,636300,3,3,2656,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,638300,3521,{'is_newHome': True},FALSE,FALSE,FOR_SALE,636300,TRUE,FALSE,FALSE,USD,USA,135000,8276.4,sqft,,,,,BUILDER_SPEC,,,,
2213024,680 Woodduck Dr APT B,55125,Woodbury,MN,44.939064,-92.94338,235000,2,2,1272,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,237000,1798,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,235000,TRUE,FALSE,FALSE,USD,USA,189700,,,,,,,,Apt B,,,
2246299,2646 Mallard Dr,55125,Woodbury,MN,44.90988,-92.97626,226000,2,2,1160,TOWNHOUSE,FOR_SALE,-1,FALSE,FALSE,227900,1610,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,226000,TRUE,FALSE,FALSE,USD,USA,183700,,,,,,,,,,,
299623143,4809 Copper Cir,55129,Woodbury,MN,44.876743,-92.925224,495000,3,3,2409,SINGLE_FAMILY,FOR_SALE,-1,FALSE,FALSE,496300,2636,{'is_FSBA': True},FALSE,FALSE,FOR_SALE,495000,TRUE,FALSE,FALSE,USD,USA,415100,7405.2,sqft,1.66E+12,,-10000,,,,,,
